login_id,user_id,username,timestamp,ip_address,device_type,browser,os,country,login_success,auth_method,latency_ms,login_duration_sec,failed_attempts_before,session_duration_min
29,1216,user_898,2025-07-02 19:09:47,192.168.5.136,desktop,Chrome,Windows,JP,1,password_only,280,5.37,1,13.6
30,956,user_971,2025-06-28 18:32:35,192.168.138.94,desktop,Chrome,Linux,GB,1,password+otp,233,2.97,0,19.07
31,277,user_1132,2025-10-06 12:15:08,192.168.118.109,mobile,Chrome,Windows,RU,1,password+otp,245,2.12,0,8.39
32,1185,user_668,2025-08-23 23:38:56,192.168.119.129,desktop,Firefox,iOS,RU,1,sso,354,2.9,0,2.87
33,460,user_594,2024-11-11 21:04:59,192.168.122.28,desktop,Firefox,Windows,BR,1,password+otp,349,4.02,0,36.77
34,1338,user_589,2025-04-17 12:05:16,192.168.109.120,desktop,Firefox,Windows,JP,0,password+otp,236,2.66,1,3.12
35,22,user_485,2025-03-21 19:28:15,192.168.178.233,mobile,Chrome,Windows,DE,1,password_only,338,3.47,1,13.95
36,253,user_982,2025-02-17 18:17:30,192.168.68.253,desktop,Safari,Linux,BR,1,sso,342,3.46,0,35.56
37,748,user_972,2025-04-10 07:06:42,192.168.150.227,desktop,Chrome,Windows,BR,1,sso,338,3.66,0,21.6
38,857,user_1282,2025-03-16 18:56:35,192.168.6.127,tablet,Chrome,Android,GB,1,password+otp,261,4.24,3,22.45
39,1585,user_639,2025-04-03 08:38:49,192.168.55.126,desktop,Safari,Windows,BR,0,sso,276,5.38,0,5.24
40,475,user_997,2025-10-19 23:44:10,192.168.76.233,desktop,Safari,Android,BR,1,password+push,227,3.1,2,14.92
41,1083,user_1927,2024-11-28 21:49:37,192.168.61.73,mobile,Firefox,Windows,US,1,password+push,436,3.39,2,0.85
42,511,user_282,2025-09-29 04:08:40,192.168.227.207,mobile,Safari,Windows,GB,0,password_only,281,1.58,0,1.24
43,1706,user_986,2025-04-20 20:16:32,192.168.14.52,desktop,Chrome,Android,US,1,password_only,243,4.13,0,25.67
44,1500,user_1112,2025-06-12 05:23:03,192.168.170.210,mobile,Chrome,Windows,GB,1,password+otp,290,4.63,0,30.85
45,700,user_1228,2025-08-26 13:48:17,192.168.212.119,desktop,Chrome,Windows,GB,1,password_only,271,3.83,1,3.0
46,976,user_16,2025-03-08 03:03:30,192.168.34.206,desktop,Chrome,iOS,GB,1,sso,414,1.34,0,60.35
47,1807,user_1175,2025-04-02 15:53:53,192.168.239.13,desktop,Firefox,Windows,IN,1,password+push,248,2.51,0,2.8
48,190,user_936,2025-03-26 00:47:02,192.168.92.196,desktop,Chrome,Windows,RU,1,password+push,311,3.06,0,10.89
49,958,user_254,2025-03-13 08:02:45,192.168.121.176,desktop,Edge,Windows,BR,1,password_only,240,1.97,0,4.38
50,687,user_1212,2025-09-30 09:02:20,192.168.17.178,tablet,Chrome,Windows,BR,1,password+otp,115,5.57,1,2.08
51,958,user_329,2025-08-26 02:49:41,192.168.128.124,mobile,Chrome,Windows,DE,1,password_only,250,3.49,0,67.54
52,563,user_544,2024-12-06 08:14:31,192.168.26.63,tablet,Chrome,Android,BR,0,sso,318,4.12,1,11.55
53,1900,user_783,2024-12-06 00:33:46,192.168.59.218,mobile,Safari,Windows,US,1,password+push,260,4.14,0,8.02
54,1591,user_997,2025-04-01 17:32:20,192.168.216.168,desktop,Edge,Windows,BR,1,password_only,157,3.13,0,7.95
55,1268,user_1421,2024-12-02 13:38:26,192.168.148.13,desktop,Firefox,Android,BR,0,password+otp,376,1.56,0,4.67
56,832,user_1541,2025-06-10 12:39:27,192.168.115.244,tablet,Edge,Windows,GB,1,password_only,154,3.95,0,69.4
57,1529,user_1483,2024-12-19 00:08:26,192.168.147.91,mobile,Edge,Windows,CN,1,password_only,188,5.41,0,13.43
58,1155,user_1354,2025-05-06 05:23:31,192.168.84.86,tablet,Safari,Linux,CN,1,password_only,159,2.55,1,15.11
59,1509,user_1844,2024-10-30 04:38:56,192.168.138.119,desktop,Chrome,Windows,US,1,sso,167,2.32,0,24.8
60,1843,user_845,2025-02-20 02:47:10,192.168.193.83,desktop,Chrome,Windows,US,1,password+otp,253,4.01,0,10.48
61,647,user_1193,2025-07-01 17:35:34,192.168.23.118,desktop,Chrome,Linux,BR,1,password+otp,298,4.11,2,6.55
62,21,user_1717,2025-04-22 05:34:59,192.168.88.36,desktop,Safari,iOS,US,1,password_only,203,4.37,0,6.93
63,841,user_366,2025-10-19 15:02:34,192.168.85.126,desktop,Opera,Windows,IN,1,password+otp,295,2.83,1,8.56
64,167,user_1202,2025-09-11 14:33:05,192.168.250.151,desktop,Firefox,Android,BR,1,password+otp,311,2.83,0,17.19
65,1298,user_655,2025-03-07 14:51:44,192.168.14.11,mobile,Chrome,Windows,BR,1,password+otp,223,-0.15,0,35.52
66,388,user_1386,2024-11-13 03:51:51,192.168.237.94,desktop,Chrome,Windows,US,1,password+otp,128,3.06,1,5.56
67,601,user_760,2025-09-01 05:05:18,192.168.234.191,desktop,Chrome,Windows,US,1,password_only,371,2.32,1,17.54
68,316,user_639,2025-09-25 03:48:53,192.168.30.180,mobile,Chrome,Linux,GB,1,sso,196,0.35,0,27.77
69,14,user_1799,2025-08-23 02:05:53,192.168.93.232,desktop,Chrome,Windows,GB,1,password+otp,73,5.27,0,104.19
70,242,user_1064,2024-12-13 06:14:37,192.168.83.71,desktop,Chrome,iOS,BR,1,sso,218,3.29,1,47.66
71,777,user_924,2025-10-26 19:08:19,192.168.43.29,desktop,Opera,iOS,US,1,password+otp,296,0.86,0,20.84
72,1370,user_416,2025-01-29 22:35:59,192.168.34.20,mobile,Chrome,Linux,JP,1,sso,308,3.45,0,58.72
73,565,user_1379,2025-07-18 21:26:14,192.168.110.231,desktop,Safari,Windows,GB,1,password+otp,159,5.23,0,56.16
74,898,user_255,2025-09-23 23:47:15,192.168.62.249,tablet,Firefox,Linux,BR,0,password+push,102,4.44,0,0.91
75,1364,user_1167,2025-01-21 14:01:16,192.168.91.230,desktop,Chrome,Android,BR,1,password_only,274,4.16,0,21.04
76,92,user_1776,2025-09-24 01:44:49,192.168.144.11,desktop,Chrome,Windows,BR,1,password_only,291,1.52,0,21.07
77,1391,user_1764,2025-02-17 12:27:39,192.168.243.241,desktop,Opera,Windows,RU,1,password+otp,339,2.35,1,22.58
78,956,user_1877,2025-10-18 22:46:55,192.168.145.252,desktop,Firefox,Windows,BR,1,password+otp,330,1.96,1,55.78
79,1479,user_710,2025-02-07 05:14:23,192.168.238.246,desktop,Chrome,Windows,DE,1,sso,261,3.02,0,6.77
80,1452,user_577,2025-10-10 13:30:00,192.168.91.59,mobile,Chrome,Windows,GB,1,password+otp,176,3.93,0,5.39
81,509,user_900,2024-11-16 02:27:12,192.168.66.114,desktop,Firefox,iOS,GB,1,sso,211,3.52,1,13.06
82,776,user_11,2025-07-13 10:37:30,192.168.14.15,mobile,Chrome,Windows,BR,1,password+push,230,1.91,1,7.24
83,1967,user_1644,2025-05-09 18:41:44,192.168.21.117,mobile,Chrome,Windows,BR,1,password+push,176,2.78,1,7.7
84,35,user_26,2025-04-19 23:36:19,192.168.112.94,mobile,Firefox,iOS,GB,1,password+otp,336,4.25,0,5.7
85,206,user_957,2025-01-17 03:12:44,192.168.190.158,desktop,Firefox,Linux,US,1,password_only,332,3.61,1,22.25
86,1105,user_421,2025-07-12 02:25:16,192.168.0.74,tablet,Chrome,Android,GB,1,password_only,138,3.48,1,26.5
87,1956,user_1687,2025-01-05 04:53:36,192.168.5.86,desktop,Safari,Windows,BR,1,password+push,224,1.95,0,2.09
88,1586,user_1245,2025-05-17 08:17:46,192.168.136.179,desktop,Firefox,Linux,JP,1,sso,414,3.19,0,32.08
89,1896,user_1877,2025-01-27 23:49:53,192.168.207.61,mobile,Edge,Windows,US,1,password_only,343,1.64,0,6.24
90,1412,user_496,2025-10-11 08:38:43,192.168.57.229,desktop,Chrome,Windows,BR,1,password+push,265,2.01,2,2.83
91,1026,user_1261,2024-11-07 00:12:41,192.168.107.18,mobile,Chrome,Linux,DE,0,password+otp,337,1.23,0,12.21
92,1022,user_237,2025-01-08 11:01:18,192.168.108.140,desktop,Chrome,Linux,GB,0,sso,381,5.07,0,19.03
93,1414,user_1009,2025-01-24 00:02:35,192.168.122.159,desktop,Chrome,Windows,US,1,sso,257,5.12,0,25.57
94,566,user_219,2025-03-27 16:38:10,192.168.99.8,desktop,Safari,Android,BR,1,password_only,141,1.8,0,18.35
95,1130,user_1511,2025-01-20 12:07:08,192.168.237.237,desktop,Safari,Linux,IN,1,password+push,318,2.07,1,55.57
96,1796,user_1960,2025-04-24 21:37:12,192.168.48.164,desktop,Firefox,macOS,GB,1,password+push,322,2.62,0,0.41
97,1846,user_461,2025-09-11 00:12:00,192.168.30.158,desktop,Chrome,Windows,BR,1,password+push,169,4.46,0,48.48
98,1501,user_663,2025-07-14 11:04:40,192.168.58.182,mobile,Firefox,Android,BR,1,password_only,270,3.73,2,26.44
99,703,user_635,2025-05-27 05:52:08,192.168.146.190,mobile,Chrome,Windows,BR,1,password+push,186,4.66,0,55.01
100,402,user_1168,2024-11-29 01:04:12,192.168.129.44,mobile,Chrome,Linux,BR,1,password+otp,118,5.02,1,5.74
101,730,user_990,2025-07-07 20:46:23,192.168.95.42,mobile,Chrome,Windows,BR,1,password+otp,267,3.58,0,4.22
102,1580,user_189,2024-12-27 07:11:28,192.168.97.0,desktop,Chrome,Android,US,1,password_only,366,3.36,1,114.64
103,162,user_255,2025-08-10 13:58:49,192.168.212.188,mobile,Chrome,iOS,RU,1,password+otp,275,4.63,0,11.8
104,202,user_68,2025-01-26 19:53:57,192.168.130.90,desktop,Chrome,Windows,FR,1,sso,264,4.3,0,6.38
105,1982,user_616,2025-03-28 18:44:56,192.168.43.134,desktop,Chrome,Android,CN,1,password_only,143,4.29,1,31.43
106,996,user_336,2025-03-04 11:31:16,192.168.32.136,mobile,Firefox,Windows,BR,1,sso,300,3.57,1,15.4
107,270,user_671,2025-09-06 00:36:43,192.168.29.145,desktop,Chrome,Windows,FR,1,password+otp,205,4.25,0,19.35
108,1887,user_821,2024-12-12 17:55:54,192.168.55.217,mobile,Firefox,Android,IN,0,password+otp,187,2.64,0,1.13
109,816,user_874,2025-05-22 00:27:04,192.168.211.229,desktop,Chrome,Windows,GB,1,password_only,320,2.32,2,21.9
110,1295,user_1433,2024-12-18 09:51:42,192.168.104.246,desktop,Chrome,Windows,US,1,password+otp,152,2.59,0,23.53
111,456,user_300,2025-07-11 19:24:49,192.168.30.199,desktop,Edge,macOS,BR,1,password_only,233,5.73,1,2.95
112,1486,user_1932,2025-09-22 21:53:11,192.168.190.214,desktop,Chrome,Android,CN,1,sso,158,1.75,1,27.3
113,1751,user_1626,2025-04-04 04:33:54,192.168.177.88,mobile,Chrome,Windows,BR,1,password_only,226,4.13,1,1.45
114,1276,user_357,2025-04-23 17:05:25,192.168.238.0,tablet,Edge,Windows,JP,1,password+otp,74,5.38,1,1.97
115,1017,user_256,2025-10-01 01:37:34,192.168.109.81,desktop,Chrome,Windows,FR,1,password+otp,293,3.48,0,19.71
116,1726,user_1008,2025-05-05 17:17:12,192.168.18.114,desktop,Edge,Windows,GB,1,password+otp,281,2.62,0,58.01
117,296,user_353,2025-04-23 12:45:52,192.168.125.233,desktop,Chrome,Windows,RU,0,sso,424,3.67,0,11.67
118,1749,user_1756,2025-05-26 15:33:54,192.168.63.243,mobile,Chrome,iOS,BR,1,password_only,269,2.41,0,3.52
119,720,user_1545,2025-07-06 03:03:16,192.168.52.5,desktop,Firefox,Windows,US,1,password+push,177,1.91,1,27.37
120,1773,user_524,2024-12-05 13:42:02,192.168.16.45,tablet,Chrome,Linux,RU,1,password_only,329,4.62,0,17.82
121,338,user_1861,2025-08-23 06:19:49,192.168.236.199,mobile,Chrome,iOS,BR,1,password_only,327,4.54,0,72.51
122,879,user_950,2025-04-04 12:25:34,192.168.117.233,mobile,Chrome,macOS,RU,1,sso,354,2.62,0,3.01
123,1077,user_756,2024-11-22 23:10:30,192.168.72.100,desktop,Chrome,Windows,GB,1,password+push,93,2.41,0,29.24
124,792,user_1718,2025-08-10 12:21:44,192.168.182.90,mobile,Firefox,Linux,BR,1,password+push,193,3.26,0,6.06
125,1946,user_284,2025-03-14 03:29:02,192.168.227.5,mobile,Edge,iOS,BR,1,password+otp,177,2.89,0,48.61
126,217,user_1336,2024-12-03 04:37:17,192.168.197.108,mobile,Edge,Windows,GB,1,password_only,372,2.02,1,31.07
127,764,user_99,2025-06-15 21:18:23,192.168.195.213,mobile,Chrome,Windows,BR,1,password+push,314,1.17,0,12.19
128,188,user_197,2025-09-13 19:21:10,192.168.39.90,desktop,Firefox,Windows,BR,1,password+otp,340,1.25,0,0.92
129,380,user_482,2025-09-16 14:07:22,192.168.228.65,mobile,Chrome,Linux,US,1,password+otp,163,1.56,0,23.04
130,493,user_878,2025-10-12 02:32:03,192.168.136.10,tablet,Firefox,Windows,RU,0,password+otp,260,1.75,0,12.39
131,1065,user_1250,2025-09-09 06:30:07,192.168.147.115,tablet,Edge,Android,JP,1,sso,119,3.25,0,31.99
132,1181,user_1869,2024-10-28 08:09:23,192.168.42.230,mobile,Chrome,macOS,US,1,sso,161,2.04,0,26.99
133,15,user_615,2025-03-15 08:18:53,192.168.57.205,desktop,Opera,Windows,JP,1,password+otp,259,2.07,1,27.59
134,1837,user_618,2025-08-22 07:50:06,192.168.153.37,desktop,Edge,Android,US,1,password+push,267,1.5,0,3.76
135,65,user_1389,2025-03-10 05:46:42,192.168.93.35,mobile,Firefox,Windows,RU,1,password_only,281,1.52,1,11.47
136,1881,user_368,2025-06-04 02:58:01,192.168.229.226,desktop,Firefox,Android,BR,1,password+push,197,1.49,1,12.7
137,1863,user_570,2025-06-05 20:44:19,192.168.182.5,desktop,Firefox,macOS,US,0,password_only,284,2.9,1,30.73
138,521,user_590,2025-03-09 19:01:25,192.168.130.64,desktop,Opera,macOS,GB,1,password+push,250,4.25,1,10.41
139,1368,user_1099,2025-09-22 16:35:37,192.168.123.191,mobile,Firefox,Windows,BR,1,password+otp,375,4.8,0,40.1
140,1153,user_1066,2025-04-29 05:40:57,192.168.185.116,desktop,Chrome,macOS,BR,1,password_only,215,3.06,0,6.43
141,648,user_422,2025-04-15 04:54:42,192.168.185.17,desktop,Firefox,Linux,DE,1,password+push,103,4.27,1,85.55
142,1496,user_836,2025-10-26 15:37:21,192.168.150.95,desktop,Chrome,Linux,US,1,password_only,299,2.06,0,1.85
143,1087,user_1205,2025-04-25 16:27:55,192.168.156.150,mobile,Safari,Windows,BR,1,password_only,276,3.68,0,13.75
144,1163,user_545,2024-12-31 16:10:15,192.168.127.35,tablet,Safari,Windows,JP,1,password+otp,178,1.95,0,17.78
145,1523,user_71,2025-05-02 19:53:25,192.168.69.208,desktop,Chrome,Windows,CN,0,sso,223,3.52,1,11.69
146,593,user_1592,2025-08-20 16:11:19,192.168.209.94,desktop,Firefox,Windows,BR,1,sso,265,2.02,0,15.9
147,392,user_1129,2025-08-07 02:41:55,192.168.133.161,mobile,Safari,Windows,JP,0,password+push,219,2.11,0,30.15
148,1699,user_1224,2025-08-11 09:22:42,192.168.43.43,mobile,Chrome,macOS,BR,1,sso,161,2.94,0,3.73
149,419,user_1125,2025-07-12 23:41:26,192.168.26.99,mobile,Chrome,Windows,GB,1,password+otp,234,4.94,1,59.04
150,289,user_768,2025-01-28 08:21:01,192.168.239.51,mobile,Chrome,Windows,BR,1,password+otp,320,4.02,0,9.97
151,379,user_307,2025-09-07 05:15:31,192.168.169.24,mobile,Firefox,Linux,BR,0,sso,221,2.12,1,19.48
152,1797,user_1610,2025-09-18 15:58:01,192.168.254.73,desktop,Chrome,Linux,US,1,password_only,266,1.73,1,11.65
153,1514,user_1707,2025-01-06 10:10:47,192.168.38.237,desktop,Firefox,Linux,RU,1,sso,235,2.02,2,18.3
154,231,user_377,2024-12-14 04:11:36,192.168.166.139,mobile,Chrome,Android,RU,1,password+otp,151,3.77,1,25.81
155,1018,user_655,2025-10-18 15:42:06,192.168.138.112,mobile,Chrome,Android,BR,1,password+otp,241,3.26,0,14.15
156,41,user_678,2025-09-09 11:55:12,192.168.234.244,desktop,Chrome,Windows,BR,1,password+otp,214,3.78,0,2.37
157,1052,user_399,2025-09-18 14:09:03,192.168.2.114,tablet,Chrome,Linux,RU,1,password_only,310,2.38,3,8.11
158,135,user_1797,2025-09-16 02:03:33,192.168.21.3,mobile,Chrome,Windows,GB,1,password+push,348,3.4,0,32.68
159,201,user_221,2025-05-13 06:34:43,192.168.135.13,mobile,Chrome,Windows,RU,1,password+otp,320,3.32,0,16.87
160,1864,user_1619,2025-06-20 11:52:53,192.168.211.215,desktop,Firefox,iOS,BR,1,password+otp,191,4.52,2,28.42
161,780,user_182,2025-05-14 14:46:50,192.168.13.219,desktop,Chrome,Linux,DE,1,password_only,156,4.9,0,43.81
162,930,user_307,2024-11-15 05:58:11,192.168.15.159,mobile,Firefox,Android,CN,1,password+otp,128,4.08,0,11.55
163,1057,user_522,2025-07-26 16:00:33,192.168.63.238,desktop,Chrome,iOS,BR,1,password+otp,263,4.52,0,8.71
164,1072,user_1420,2025-04-30 00:06:38,192.168.203.15,desktop,Chrome,Windows,DE,1,password+otp,193,2.98,0,2.36
165,503,user_1014,2025-06-20 23:20:01,192.168.51.18,tablet,Chrome,Windows,US,1,password_only,160,2.16,0,6.31
166,407,user_4,2025-04-29 00:31:36,192.168.68.139,mobile,Firefox,Windows,BR,1,password+otp,406,2.96,1,10.95
167,1598,user_863,2025-04-25 01:40:09,192.168.92.4,desktop,Chrome,Windows,CN,1,password+otp,288,2.84,0,2.84
168,1752,user_1938,2024-12-29 06:16:29,192.168.41.249,mobile,Chrome,Windows,CN,1,password_only,276,2.76,0,2.4
169,805,user_848,2025-02-06 06:56:03,192.168.16.110,desktop,Opera,iOS,JP,1,password+otp,272,2.99,0,11.78
170,99,user_804,2024-12-24 12:57:06,192.168.71.103,desktop,Firefox,iOS,US,0,password+push,379,2.8,0,9.32
171,684,user_1305,2025-01-06 23:26:20,192.168.231.93,mobile,Chrome,macOS,DE,1,password+otp,236,2.45,1,37.49
172,1896,user_215,2025-10-17 16:41:02,192.168.9.211,mobile,Firefox,Android,BR,1,password+push,299,2.84,1,0.57
173,726,user_972,2024-12-22 10:40:33,192.168.236.253,desktop,Edge,Windows,DE,1,password+push,322,3.96,2,28.81
174,1571,user_1634,2025-02-02 20:12:40,192.168.15.232,desktop,Edge,Linux,BR,1,password_only,398,1.96,2,4.68
175,961,user_1444,2025-05-31 02:58:03,192.168.143.41,desktop,Chrome,Windows,BR,1,password_only,249,4.61,0,42.33
176,1763,user_101,2025-06-07 06:33:59,192.168.2.150,tablet,Chrome,Windows,BR,1,password_only,348,4.3,0,6.67
177,613,user_963,2024-12-22 18:12:56,192.168.213.120,mobile,Firefox,Windows,CN,1,sso,103,3.1,3,16.0
178,1967,user_1545,2025-08-13 06:22:00,192.168.155.237,desktop,Chrome,macOS,IN,1,password_only,419,0.14,0,5.85
179,1486,user_573,2025-08-10 03:46:45,192.168.172.227,desktop,Safari,Windows,GB,1,password+push,283,0.39,0,10.62
180,643,user_1333,2025-01-22 04:18:19,192.168.195.229,desktop,Chrome,Windows,US,1,password+push,310,3.13,0,5.44
181,1793,user_658,2025-02-09 22:07:08,192.168.23.18,mobile,Chrome,macOS,US,1,password+push,147,3.81,0,9.34
182,1029,user_939,2025-10-04 22:10:33,192.168.74.39,mobile,Safari,macOS,BR,1,password+otp,142,5.13,1,40.03
183,1242,user_1955,2025-08-24 22:17:02,192.168.45.39,desktop,Chrome,Windows,FR,1,password+otp,198,2.51,2,23.73
184,503,user_1534,2025-07-09 06:06:15,192.168.61.237,tablet,Chrome,Windows,BR,1,password_only,251,2.38,2,8.15
185,767,user_1087,2024-11-26 13:45:54,192.168.246.230,desktop,Firefox,Android,US,1,password_only,229,1.54,0,38.54
186,398,user_1657,2025-03-29 05:23:44,192.168.244.17,desktop,Chrome,Windows,BR,1,password+otp,217,3.72,0,1.06
187,871,user_226,2025-05-19 16:53:11,192.168.139.141,desktop,Firefox,Android,GB,1,password+push,234,3.01,1,24.43
188,795,user_105,2025-01-03 23:07:30,192.168.238.81,desktop,Chrome,Windows,RU,1,password+otp,63,2.43,0,19.69
189,393,user_1998,2025-04-09 03:52:01,192.168.188.107,tablet,Chrome,macOS,FR,1,password+push,284,3.03,1,9.38
190,207,user_772,2025-06-03 22:23:20,192.168.233.11,mobile,Chrome,macOS,BR,1,sso,236,2.89,1,10.64
191,1039,user_1885,2025-02-24 01:13:18,192.168.103.154,desktop,Firefox,Android,RU,1,password+otp,326,4.16,0,9.53
192,1882,user_1449,2025-08-08 14:28:43,192.168.133.87,desktop,Chrome,Windows,RU,1,password+otp,211,2.49,1,20.49
193,1578,user_1279,2025-08-30 07:44:25,192.168.114.32,desktop,Chrome,Windows,BR,1,sso,220,3.0,0,5.44
194,892,user_429,2025-02-22 16:13:16,192.168.236.117,desktop,Edge,Android,BR,1,password_only,262,4.02,1,104.81
195,1485,user_434,2025-08-29 16:02:19,192.168.79.177,mobile,Safari,Windows,BR,1,password_only,304,2.68,0,0.06
196,1715,user_1231,2024-12-04 08:43:58,192.168.11.94,mobile,Firefox,Android,RU,1,password_only,342,2.11,1,12.54
197,1599,user_1052,2025-08-29 07:54:32,192.168.184.228,desktop,Chrome,Android,BR,1,password+otp,246,1.46,0,5.21
198,864,user_682,2024-12-22 07:29:45,192.168.52.12,desktop,Chrome,Linux,BR,1,sso,284,1.75,1,8.75
199,743,user_1360,2024-11-26 19:50:38,192.168.121.199,desktop,Firefox,iOS,BR,1,password+otp,252,2.23,1,39.77
200,1265,user_588,2025-06-18 19:21:17,192.168.101.130,tablet,Edge,Linux,US,1,password+otp,226,4.15,0,8.84
201,564,user_1652,2025-04-17 19:34:24,192.168.248.191,desktop,Edge,macOS,BR,1,password+otp,96,2.12,0,4.82
202,1021,user_1093,2025-09-23 22:31:25,192.168.249.211,desktop,Safari,macOS,GB,1,password+push,266,2.74,0,9.14
203,96,user_866,2025-03-09 02:56:22,192.168.57.3,desktop,Edge,Linux,BR,1,password+push,177,1.77,0,7.71
204,1924,user_746,2025-02-09 08:51:21,192.168.235.172,desktop,Chrome,Linux,BR,1,password+otp,319,3.06,0,14.18
205,1758,user_1537,2025-04-28 07:50:23,192.168.65.114,desktop,Firefox,Android,CN,0,password+otp,180,3.34,1,46.03
206,485,user_1191,2025-04-11 23:29:26,192.168.35.22,mobile,Edge,Linux,JP,1,password_only,204,3.43,0,23.83
207,1431,user_864,2025-03-02 06:35:30,192.168.236.18,tablet,Edge,Linux,GB,1,password+push,184,5.11,0,37.96
208,231,user_1754,2025-07-07 18:34:33,192.168.39.71,desktop,Safari,macOS,BR,1,password+push,292,2.98,0,7.17
209,749,user_1809,2025-07-31 19:09:49,192.168.143.57,desktop,Chrome,Windows,BR,1,password+otp,225,3.35,0,0.6
210,1679,user_368,2025-09-03 21:32:30,192.168.106.17,mobile,Firefox,Windows,DE,1,password+otp,295,2.32,0,8.98
211,1195,user_251,2025-10-17 15:37:33,192.168.35.151,mobile,Chrome,Windows,BR,1,password+otp,36,5.61,2,24.55
212,541,user_859,2025-02-01 21:18:37,192.168.128.0,desktop,Chrome,Windows,DE,1,password+push,409,4.02,2,6.46
213,1060,user_856,2025-07-15 22:22:52,192.168.63.61,mobile,Chrome,Android,US,1,password+otp,169,4.06,1,6.47
214,525,user_1955,2025-03-20 11:06:15,192.168.109.163,mobile,Safari,macOS,IN,1,password+otp,311,4.31,2,1.95
215,1184,user_1710,2025-07-01 16:38:25,192.168.74.145,desktop,Safari,iOS,JP,1,sso,289,3.9,0,4.67
216,1863,user_1194,2025-04-19 07:00:06,192.168.15.16,desktop,Firefox,Windows,BR,1,password+otp,306,4.36,0,26.41
217,1723,user_1782,2025-10-25 06:51:16,192.168.23.97,mobile,Chrome,Android,CN,1,password_only,184,2.78,2,14.17
